AnioPresupuesto,CodigoIndicador,NombreIndicador,DescripcionIndicador,IndicadorFrecuencia,AñoBasePresupuesto,Avance,Meta,UnidadMedidaTotal,MetodoCalculo,DescripcionPoblacion,CodigoNivelEntidad,NombreEntidad,IdNegocioProyecto,NombreProyectoActividad,
2021,965,VARIACION DE ATENCION A  CLIENTES,ESTE INDICADOR CUANTIFICA EL NUMERO DE CLIENTES EN EL A?O T RESPECTO A LA CANTIDAD DE CLIENTES  EN EL A?O T-1,ANUAL,2020,2530,50593,,(NUMERO DE CLIENTES EN EL A?O T - NUMERO DE CLIENTES ATENDIDOS EN EL A?O T -1)/ NUMERO DE CLIENTES EN EL A?O T -1 ) X 100,,27-3,Crédito Agrícola de Habilitación,27-3-1-1-2,SERVICIOS FINANCIEROS OTORGADOS A SECTORES VULNERABLES,
2021,964,VARIACION DE ASISTENCIA FINANCIERA A  PRODUCTORES AGROPECUARIOS,ESTE INDICADOR CUANTIFICA EL NUMERO DE PRODUCTORES AGROPECUARIOS EN EL A?O T RESPECTO A LA CANTIDAD DE PRODUCTORES AGROPECUARIOS  EN EL A?O T-1,ANUAL,2019,,,,(NUMERO DE PRODUCTORES AGROPECUARIOS ASISTIDOS FINANCIERAMENTE EN EL A?O T - NUMERO DE PRODUCTORES AGROPECUARIOS ASISTIDOS FINANCIERAMENTE EN EL A?O T -1)/  NUMERO DE PRODUCTORES AGROPECUARIOS ASISTIDOS FINANCIERAMENTE EN EL A?O T -1 ) X 100,,27-3,Crédito Agrícola de Habilitación,27-3-1-1-2,SERVICIOS FINANCIEROS OTORGADOS A SECTORES VULNERABLES,
2020,964,VARIACION DE ASISTENCIA FINANCIERA A  PRODUCTORES AGROPECUARIOS,ESTE INDICADOR CUANTIFICA EL NUMERO DE PRODUCTORES AGROPECUARIOS EN EL A?O T RESPECTO A LA CANTIDAD DE PRODUCTORES AGROPECUARIOS  EN EL A?O T-1,ANUAL,2019,,,,(NUMERO DE PRODUCTORES AGROPECUARIOS ASISTIDOS FINANCIERAMENTE EN EL A?O T - NUMERO DE PRODUCTORES AGROPECUARIOS ASISTIDOS FINANCIERAMENTE EN EL A?O T -1)/  NUMERO DE PRODUCTORES AGROPECUARIOS ASISTIDOS FINANCIERAMENTE EN EL A?O T -1 ) X 100,,27-3,Crédito Agrícola de Habilitación,27-3-1-1-2,SERVICIOS FINANCIEROS OTORGADOS A SECTORES VULNERABLES,
2021,649,PORCENTAJE DE NNA FUERA DE RIESGO DE TRABAJO INFANTIL PELIGROSO                   ,"NN EN SITUACION DE TRABAJO INFANTIL PELIGROSO DADOS DE ALTA DEL SERVICIO DE ATENCION A POBLACION EN RIESGO (POR CUMPLIR CONDICIONES ICV CON RELACION AL NUMERO DE NI?OS, NI?AS Y ADOLESCENTES EN SITUACION TRABAJO INFANTIL PELIGROSO IDENTIFICADO A TRAVES DE ENCUESTA EANA                                                 ",ANUAL,,0,3,,"NN EN SITUACION DE TRABAJO INFANTIL PELIGROSO DADOS DE ALTA DEL SERVICIO DE ATENCION A POBLACION EN RIESGO (POR CUMPLIR CONDICIONES ICV / NUMERO DE NI?OS, NI?AS Y ADOLESCENTES EN SITUACION TRABAJO INFANTIL PELIGROSO IDENTIFICADO A TRAVES DE ENCUESTA EANA * 100                      ",,20-Dec,Ministerio de la Niñez y la Adolescencia,12-20-2-1-1,PROT. SOCIAL A NNA EN SIT. DE TRABAJO INFANTIL Y VULNERAB.,
2021,981,ACCESO A LOS SERVICIOS DE PROTECCION SOCIAL EN CENTROS DE ABRAZO,NNA Y FAMILIAS BENEFICIARIOS DEL PROGRAMA ABRAZO QUE RECIBEN EL ACOMPA?AMIENTO DE LOS SERVICIOS DE PROMOCION SOCIAL EN CENTROSON RELACION AL NUMERO DE BENEFICIARIOS DEL PROGRAMA ABRAZO,ANUAL,,,,,NNA  QUE RECIBEN ATENCION EN CENTROS/NNA QUE FORMAN PARTE DEL PROGRAMA,,20-Dec,Ministerio de la Niñez y la Adolescencia,12-20-2-1-1,PROT. SOCIAL A NNA EN SIT. DE TRABAJO INFANTIL Y VULNERAB.,
2020,981,ACCESO A LOS SERVICIOS DE PROTECCION SOCIAL EN CENTROS DE ABRAZO,NNA Y FAMILIAS BENEFICIARIOS DEL PROGRAMA ABRAZO QUE RECIBEN EL ACOMPA?AMIENTO DE LOS SERVICIOS DE PROMOCION SOCIAL EN CENTROSON RELACION AL NUMERO DE BENEFICIARIOS DEL PROGRAMA ABRAZO,ANUAL,,,,,NNA  QUE RECIBEN ATENCION EN CENTROS/NNA QUE FORMAN PARTE DEL PROGRAMA,,20-Dec,Ministerio de la Niñez y la Adolescencia,12-20-2-1-1,PROT. SOCIAL A NNA EN SIT. DE TRABAJO INFANTIL Y VULNERAB.,
2021,1135,PORCENTAJE DE INSTITUCIONES EDUCATIVAS QUE CUENTAN CON CONEXION A INTERNET EN RELACION AL TOTAL PLANIFICADO,ESTE INDICADOR MIDE LA CANTIDAD DE INSTITUCIONES EDUCATIVAS QUE CUENTAN CON CONEXION A INTERNET,SEMESTRAL,2020,0,0,INSTITUCIONES CONECTADAS,CANTIDAD DE INSTITUCIONES CON CONEXION A INTERNET HASTA EL A?O T / CANTIDAD DE INSTITUCIONES PLANIFICADAS A CONECTAR HASTA EL A?O 2022,INSTITUCIONES EDUCATIVAS CONECTADAS,21-Dec,Ministerio de Tecnologías de la Información y Comunicación,12-21-1-1-6,CONSTRUCCIÓN DE UNA RED PARA INSTITUCIONES EDUCATIVAS,
2021,534,PORCENTAJE DE FIRMA DE CONTRATOS DE COMPRA - VENTA,EL INDICADOR DA A CONOCER LA CANTIDAD DE LOTES ADJUDICADOS A FAMILIAS PARTICIPANTES DEL PROGRAMA,ANUAL,2019,3000,3000,PERSONAS,(CANTIDAD DE PERSONAS QUE FIRMAN CONTRATO DE COMPRA-VENTA DE LA COHORTE T/ CANTIDAD TOTAL DE CONTRATOS PLANIFICADOS PARA LA COHORTE T)* 100.,FAMILIAS EN SITUACION DE POBREZA Y POBREZA EXTREMA CON CONTRATOS POR SU LOTE EN TERRITORIOS SOCIALES PROPIEDAD DEL ESTADO,18-Dec,Ministerio de Desarrollo Social,12-18-2-3-2,REGULARIZACIÓN DE TERRITORIOS SOCIALES,
2022,534,PORCENTAJE DE FIRMA DE CONTRATOS DE COMPRA - VENTA,EL INDICADOR DA A CONOCER LA CANTIDAD DE LOTES ADJUDICADOS A FAMILIAS PARTICIPANTES DEL PROGRAMA,ANUAL,2019,3000,3000,PERSONAS,(CANTIDAD DE PERSONAS QUE FIRMAN CONTRATO DE COMPRA-VENTA DE LA COHORTE T/ CANTIDAD TOTAL DE CONTRATOS PLANIFICADOS PARA LA COHORTE T)* 100.,FAMILIAS EN SITUACION DE POBREZA Y POBREZA EXTREMA CON CONTRATOS POR SU LOTE EN TERRITORIOS SOCIALES PROPIEDAD DEL ESTADO,18-Dec,Ministerio de Desarrollo Social,12-18-2-3-2,REGULARIZACIÓN DE TERRITORIOS SOCIALES,
2021,757,PARTICIPACION DE LA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES EN LA MATRICULACION ESTUDIANTIL DE LA UNIVERSIDAD NACIONAL DE CANINDEYU                       ,"MIDE LA PARTICIPACION DE LA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES EN LA MATRICULACION ESTUDIANTIL DE LA UNIVERSIDAD NACIONAL DE CANINDEYU, TOMANDO COMO REFERENCIA EL TOTAL DE ALUMNOS MATRICULADOS EN ELLA EN UN A?O DETERMINADO, PARA LA DEMANDA DE SERVICIOS DE FORMACION OFERTADOS PARA ESE MISMO A?O.                                                 ",ANUAL,2019,710,1688,ALUMNOS MATRICULADOS,NUMERO DE ALUMNOS MATRICULADOS PARA LA FORMACION EN CIENCIAS ECONOMICAS Y EMPRESARIALES EN EL A?O T/ TOTAL DE ALUMNOS MATRICULADOS EN LA UNIVERSIDAD NACIONAL DE CANINDEYU EN EL A?O T*100,ALUMNOS MATRICULADOS EN LA UNICAN,28-8,Universidad Nacional de Canindeyú,28-8-1-1-2,FORMACIÓN DE PROFESIONALES EN CIENCIAS ECONÓMICAS Y EMPRES.,
2021,781,ALUMNOS EGRESADOS DE LA CARRERA DE CONTADURIA PUBLICA EN RELACION AL COHORTE                      ,EXPRESA LA RELACION ENTRE EL NUMERO DE EGRESADOS DE LA CARRERA DE CONTADURIA PUBLICA  Y EL NUMERO TOTAL DE ESTUDIANTES INSCRIPTOS PARA CURSAR DICHA CARRERA  EN EL A?O DE INICIO DE LA MISMA.                                                        ,ANUAL,2018,80,31,UNIDAD,(NUMERO TOTAL DE ESTUDIANTES QUE HAN EGRESADO DE LA CARRERA CONTABILIDAD EN EL A?O T/ /NUMERO TOTAL DE ESTUDIANTES MATRICULADOS EN LA CARRERA CONTABILIDAD EN EL A?O T-6)*100,EGRESADOS DE LA UNICAN,28-8,Universidad Nacional de Canindeyú,28-8-1-1-2,FORMACIÓN DE PROFESIONALES EN CIENCIAS ECONÓMICAS Y EMPRES.,
2021,757,PARTICIPACION DE LA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES EN LA MATRICULACION ESTUDIANTIL DE LA UNIVERSIDAD NACIONAL DE CANINDEYU                       ,"MIDE LA PARTICIPACION DE LA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES EN LA MATRICULACION ESTUDIANTIL DE LA UNIVERSIDAD NACIONAL DE CANINDEYU, TOMANDO COMO REFERENCIA EL TOTAL DE ALUMNOS MATRICULADOS EN ELLA EN UN A?O DETERMINADO, PARA LA DEMANDA DE SERVICIOS DE FORMACION OFERTADOS PARA ESE MISMO A?O.                                                 ",ANUAL,2019,710,1688,ALUMNOS MATRICULADOS,NUMERO DE ALUMNOS MATRICULADOS PARA LA FORMACION EN CIENCIAS ECONOMICAS Y EMPRESARIALES EN EL A?O T/ TOTAL DE ALUMNOS MATRICULADOS EN LA UNIVERSIDAD NACIONAL DE CANINDEYU EN EL A?O T*100,ALUMNOS MATRICULADOS EN LA UNICAN,28-8,Universidad Nacional de Canindeyú,28-8-1-1-2,FORMACIÓN DE PROFESIONALES EN CIENCIAS ECONÓMICAS Y EMPRES.,
2020,757,PARTICIPACION DE LA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES EN LA MATRICULACION ESTUDIANTIL DE LA UNIVERSIDAD NACIONAL DE CANINDEYU                       ,"MIDE LA PARTICIPACION DE LA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES EN LA MATRICULACION ESTUDIANTIL DE LA UNIVERSIDAD NACIONAL DE CANINDEYU, TOMANDO COMO REFERENCIA EL TOTAL DE ALUMNOS MATRICULADOS EN ELLA EN UN A?O DETERMINADO, PARA LA DEMANDA DE SERVICIOS DE FORMACION OFERTADOS PARA ESE MISMO A?O.                                                 ",ANUAL,2019,710,1688,ALUMNOS MATRICULADOS,NUMERO DE ALUMNOS MATRICULADOS PARA LA FORMACION EN CIENCIAS ECONOMICAS Y EMPRESARIALES EN EL A?O T/ TOTAL DE ALUMNOS MATRICULADOS EN LA UNIVERSIDAD NACIONAL DE CANINDEYU EN EL A?O T*100,ALUMNOS MATRICULADOS EN LA UNICAN,28-8,Universidad Nacional de Canindeyú,28-8-1-1-2,FORMACIÓN DE PROFESIONALES EN CIENCIAS ECONÓMICAS Y EMPRES.,
2020,781,ALUMNOS EGRESADOS DE LA CARRERA DE CONTADURIA PUBLICA EN RELACION AL COHORTE                      ,EXPRESA LA RELACION ENTRE EL NUMERO DE EGRESADOS DE LA CARRERA DE CONTADURIA PUBLICA  Y EL NUMERO TOTAL DE ESTUDIANTES INSCRIPTOS PARA CURSAR DICHA CARRERA  EN EL A?O DE INICIO DE LA MISMA.                                                        ,ANUAL,2018,80,31,UNIDAD,(NUMERO TOTAL DE ESTUDIANTES QUE HAN EGRESADO DE LA CARRERA CONTABILIDAD EN EL A?O T/ /NUMERO TOTAL DE ESTUDIANTES MATRICULADOS EN LA CARRERA CONTABILIDAD EN EL A?O T-6)*100,EGRESADOS DE LA UNICAN,28-8,Universidad Nacional de Canindeyú,28-8-1-1-2,FORMACIÓN DE PROFESIONALES EN CIENCIAS ECONÓMICAS Y EMPRES.,
2020,757,PARTICIPACION DE LA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES EN LA MATRICULACION ESTUDIANTIL DE LA UNIVERSIDAD NACIONAL DE CANINDEYU                       ,"MIDE LA PARTICIPACION DE LA FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES EN LA MATRICULACION ESTUDIANTIL DE LA UNIVERSIDAD NACIONAL DE CANINDEYU, TOMANDO COMO REFERENCIA EL TOTAL DE ALUMNOS MATRICULADOS EN ELLA EN UN A?O DETERMINADO, PARA LA DEMANDA DE SERVICIOS DE FORMACION OFERTADOS PARA ESE MISMO A?O.                                                 ",ANUAL,2019,710,1688,ALUMNOS MATRICULADOS,NUMERO DE ALUMNOS MATRICULADOS PARA LA FORMACION EN CIENCIAS ECONOMICAS Y EMPRESARIALES EN EL A?O T/ TOTAL DE ALUMNOS MATRICULADOS EN LA UNIVERSIDAD NACIONAL DE CANINDEYU EN EL A?O T*100,ALUMNOS MATRICULADOS EN LA UNICAN,28-8,Universidad Nacional de Canindeyú,28-8-1-1-2,FORMACIÓN DE PROFESIONALES EN CIENCIAS ECONÓMICAS Y EMPRES.,
2021,781,ALUMNOS EGRESADOS DE LA CARRERA DE CONTADURIA PUBLICA EN RELACION AL COHORTE                      ,EXPRESA LA RELACION ENTRE EL NUMERO DE EGRESADOS DE LA CARRERA DE CONTADURIA PUBLICA  Y EL NUMERO TOTAL DE ESTUDIANTES INSCRIPTOS PARA CURSAR DICHA CARRERA  EN EL A?O DE INICIO DE LA MISMA.                                                        ,ANUAL,2018,80,31,UNIDAD,(NUMERO TOTAL DE ESTUDIANTES QUE HAN EGRESADO DE LA CARRERA CONTABILIDAD EN EL A?O T/ /NUMERO TOTAL DE ESTUDIANTES MATRICULADOS EN LA CARRERA CONTABILIDAD EN EL A?O T-6)*100,EGRESADOS DE LA UNICAN,28-8,Universidad Nacional de Canindeyú,28-8-1-1-2,FORMACIÓN DE PROFESIONALES EN CIENCIAS ECONÓMICAS Y EMPRES.,
2020,930,VARIACION DE TURISTAS QUE VISITAN PARAGUAY,CANTIDAD DE TURISTAS: NUMEROS DE TURISTAS INTERNACIONALES,MENSUAL,2018,94475,1180937,,(NUMERO DE TURISTAS QUE VISITAN EL PAIS EN EL A?O T - NUMERO DE TURISTAS QUE VISITAN EL PAIS EN EL A?O T-1/NUMERO DE TURISTAS QUE VISITAN EL PAIS EN EL A?O T-1)*100,,1-Dec,Presidencia de la República,12-1-1-1-25,PROMOCIÓN DEL TURÍSMO NACIONAL,
2021,686,EFICIENCIA OPERATIVA,MIDE LA RELACION ENTRE COSTOS OPERATIVOS Y UTILIDADES BRUTAS DE LA INSTITUCION. (< AL HISTORICO DE LOS ULTIMOS 3 A?OS DEL SISTEMA FINANCIERO),ANUAL,2018,27663568105,85475629783,GS,COSTOS OPERATIVOS EN GUARANIES / UTILIDADES BRUTAS EN GUARANIES  * 100,UTILIDAD BRUTA,27-7,Agencia Financiera de Desarrollo,27-7-1-1-2,ACTIVIDADES DE FINANCIAMIENTO A TRAVES DE IFIS,
2021,1129,PORCENTAJE DE CANASTA BASICA DE UTILES ESCOLARES ENTREGADOS A ESTUDIANTES DEPREESCOLAR MATRICULADOS EN INSTITUCIONES EDUCATIVAS DE GESTION OFICIAL Y PRIVADA SUBVENCIONADA,MIDE EL PORCENTAJE DE CANASTA BASICA DE UTILES ESCOLARES ENTREGADOS A ESTUDIANTES DEL PREESCOLAR MATRICULADOS EN INSTITUCIONES EDUCATIVAS DE GESTION OFICIAL Y PRIVADA SUBVENCIONADA.,ANUAL,2019,94451,94451,PERSONAS,(NUMERO DE ESTUDIANTES DEL PREESCOLAR MATRICULADOS EN INSTITUCIONES EDUCATIVAS DE GESTION OFICIAL Y PRIVADA SUBVENCIONADA  BENEFICIADOS CON CANASTA BASICA DE UTILES ESCOLARES EN EL A?O T)/(NUMERO TOTAL DE ESTUDIANTES DEL PREESCOLAR MATRICULADOS EN INSTITUCIONES EDUCATIVAS DE GESTION OFICIAL  Y PRIVADA SUBV. EN EL A?O T)*100,POBLACION DE 5 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-1-4,ENTREGA DE CANASTA BÁSICA DE ÚTILES Y ALIMENTACIÓN ESCOLAR,
2021,1129,PORCENTAJE DE CANASTA BASICA DE UTILES ESCOLARES ENTREGADOS A ESTUDIANTES DEPREESCOLAR MATRICULADOS EN INSTITUCIONES EDUCATIVAS DE GESTION OFICIAL Y PRIVADA SUBVENCIONADA,MIDE EL PORCENTAJE DE CANASTA BASICA DE UTILES ESCOLARES ENTREGADOS A ESTUDIANTES DEL PREESCOLAR MATRICULADOS EN INSTITUCIONES EDUCATIVAS DE GESTION OFICIAL Y PRIVADA SUBVENCIONADA.,ANUAL,2019,94451,94451,PERSONAS,(NUMERO DE ESTUDIANTES DEL PREESCOLAR MATRICULADOS EN INSTITUCIONES EDUCATIVAS DE GESTION OFICIAL Y PRIVADA SUBVENCIONADA  BENEFICIADOS CON CANASTA BASICA DE UTILES ESCOLARES EN EL A?O T)/(NUMERO TOTAL DE ESTUDIANTES DEL PREESCOLAR MATRICULADOS EN INSTITUCIONES EDUCATIVAS DE GESTION OFICIAL  Y PRIVADA SUBV. EN EL A?O T)*100,POBLACION DE 5 A?OS DE EDAD,7-Dec,Ministerio de Educación y Ciencias,12-7-2-1-4,ENTREGA DE CANASTA BÁSICA DE ÚTILES Y ALIMENTACIÓN ESCOLAR,
2020,505,TASA BRUTA DE ESCOLARIZACION DE PRE JARDIN Y JARDIN  DE INFANTES,MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA MATRICULAR A LA POBLACION EN EDAD DE PREJARDIN Y JARDIN DE INFANTES,ANUAL,2019,99078,281041,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE PRE JARDIN Y JARDIN DE INFANTES EN EL A?O T)/(POBLACION DE 3 Y 4 A?OS DE EDAD EN EL A?O T)*100,NI?OS DE 3 Y 4 A?OS CON LA EDAD REGLAMENTARIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-1-4,ENTREGA DE CANASTA BÁSICA DE ÚTILES Y ALIMENTACIÓN ESCOLAR,
2020,505,TASA BRUTA DE ESCOLARIZACION DE PRE JARDIN Y JARDIN  DE INFANTES,MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA MATRICULAR A LA POBLACION EN EDAD DE PREJARDIN Y JARDIN DE INFANTES,ANUAL,2019,99078,281041,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE PRE JARDIN Y JARDIN DE INFANTES EN EL A?O T)/(POBLACION DE 3 Y 4 A?OS DE EDAD EN EL A?O T)*100,NI?OS DE 3 Y 4 A?OS CON LA EDAD REGLAMENTARIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-1-4,ENTREGA DE CANASTA BÁSICA DE ÚTILES Y ALIMENTACIÓN ESCOLAR,
2020,505,TASA BRUTA DE ESCOLARIZACION DE PRE JARDIN Y JARDIN  DE INFANTES,MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA MATRICULAR A LA POBLACION EN EDAD DE PREJARDIN Y JARDIN DE INFANTES,ANUAL,2019,99078,281041,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE PRE JARDIN Y JARDIN DE INFANTES EN EL A?O T)/(POBLACION DE 3 Y 4 A?OS DE EDAD EN EL A?O T)*100,NI?OS DE 3 Y 4 A?OS CON LA EDAD REGLAMENTARIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-1-4,ENTREGA DE CANASTA BÁSICA DE ÚTILES Y ALIMENTACIÓN ESCOLAR,
2021,505,TASA BRUTA DE ESCOLARIZACION DE PRE JARDIN Y JARDIN  DE INFANTES,MIDE LA CAPACIDAD QUE TIENE EL SISTEMA EDUCATIVO NACIONAL PARA MATRICULAR A LA POBLACION EN EDAD DE PREJARDIN Y JARDIN DE INFANTES,ANUAL,2019,99078,281041,PERSONAS,(NUMERO TOTAL DE MATRICULADOS DE PRE JARDIN Y JARDIN DE INFANTES EN EL A?O T)/(POBLACION DE 3 Y 4 A?OS DE EDAD EN EL A?O T)*100,NI?OS DE 3 Y 4 A?OS CON LA EDAD REGLAMENTARIA,7-Dec,Ministerio de Educación y Ciencias,12-7-2-1-4,ENTREGA DE CANASTA BÁSICA DE ÚTILES Y ALIMENTACIÓN ESCOLAR,
