"Pais","ISO3","Code","BaseN","Cod_Proceso","EstadoProceso","DescProceso","Moneda","Monto","Fecha","Digito"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","CPADB-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","Adquisición de materiales para la reparación de techos a viviendas afectadas por el Huracán Fiona en el municipio de Guaymate en la Provincia La Romana, mediante proceso de Excepción por Emergencia Na","DOP",66010976,"2022/10/07 19:00:00","6"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0006","Proceso adjudicado y celebrado","ADQUISICIÓN DE MATERIALES DE LIMPIEZA, PARA SER UTILIZADOS EN LAS LABORES DE AYUDA HUMANITARIA, RESCATE, CONSTRUCCIÓN Y RECONSTRUCCIÓN DE LAS OBRAS, COMO CONSECUENCIA DE LOS DAÑOS OCASIONADOS POR EL P","DOP",6589990,"2022/10/27 20:00:00","6"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","CONALECHE-MAE-PEEN-2022-0001","Cancelado","Compra de zinc y alambres de puas","DOP",14760000,"2022/10/05 15:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0005","Proceso adjudicado y celebrado","ADQUISICION DE MATERIALES DE CONSTRUCCION Y DE SEÑALIZACION VIAL PARA SER UTILIZADOS EN LAS LABORES DE AYUDA HUMANITARIA, RESCATE, CONSTRUCCIÓN Y RECONSTRUCCIÓN DE LAS OBRAS","DOP",109668400,"2022/10/19 20:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","ETED-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","ADQUISICIÓN DE EQUIPO DE PROTECCIÓN PERSONAL (EPP) Y HERRAMIENTAS","DOP",6245342.6,"2022/11/01 18:00:00","6"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MIVHED-MAE-PEEN-2022-0003","Proceso adjudicado y celebrado","“Servicio de alojamiento para el personal de apoyo, Jornada de Reparación de Viviendas afectados huracán Fiona”","DOP",1914880,"2022/10/10 21:59:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","OCI-MAE-PEEN-2022-0001","Proceso desierto","ADQUISICIÓN DE MATERIALES FERRETEROS DIVERSOS, A SER SUMINISTRADOS A LAS REGIONALES EDUCATIVAS UBICADAS EN LAS PROVINCIAS AFECTADAS POR EL HURACÁN FIONA, BAJO EL DECRETO 537-22 DE FECHA 19 DE SEPTIEMB","DOP",9801300,"2022/10/10 17:00:00","9"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MIMARENA-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","Adquisición materiales de construcción para la reconstrucción de viviendas en la isla Saona luego del paso del ciclón Fiona.","DOP",5025240,"2022/09/27 21:10:00","5"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MIVHED-MAE-PEEN-2022-0006","Proceso adjudicado y celebrado","“SERVICIOS DE TRANSPORTE DE CARGA Y TRANSPORTE DE PASAJEROS EN OCASIÓN DE LOS TRABAJOS DE REPARACIÓN DE VIVIENDAS AFECTADAS POR EL PASO DEL HURACÁN FIONA”.","DOP",5697505,"2022/10/17 20:01:00","5"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0011","Proceso adjudicado y celebrado","ADQUISICION DE VEHICULOS PESADOS, PARA SER UTILIZADOS EN LAS LABORES DE AYUDA HUMANITARIA, RESCATE, CONSTRUCCIÓN Y RECONSTRUCCIÓN DE LAS OBRAS, COMO CONSECUENCIA DE LOS DAÑOS OCASIONADOS POR EL PASO D","DOP",163180000,"2022/10/27 19:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MISPAS-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","ADQUISICION DE COMBUSTIBLE","DOP",2500000,"2022/09/30 21:00:00","2"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MISPAS-MAE-PEEN-2022-0002","Proceso adjudicado y celebrado","“ADQUISICION DE INSUMOS DE CONTROL DE VECTORES”","DOP",171626864,"2022/10/06 20:30:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MISPAS-MAE-PEEN-2022-0003","Proceso adjudicado y celebrado","“ADQUISICION DE MATERIALES FERRETEROS, INSUMOS DESECHABLES Y EPP”","DOP",1770655.8,"2022/09/30 21:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MIVHED-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","ADQUISICIÓN DE MATERIALES Y HERRAMIENTAS PARA REPARACIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA","DOP",492610700,"2022/10/04 21:00:00","4"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","COMEDORES ECONOMICOS-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","ADQUISICIÓN DE ALIMENTOS PARA LA ELABORACIÓN DE RACIONES CRUDAS QUE SERÁN DISTRIBUIDAS A LOS AFECTADOS POR CAUSA DEL HURACÁN FIONA.","DOP",52400000,"2022/10/26 16:00:00","5"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0007","Proceso adjudicado y celebrado","ADQUISICIÓN DE PUERTAS, VENTANAS Y OTROS MATERIALES, PARA SER UTILIZADAS EN LAS LABORES DE AYUDA HUMANITARIA, RESCATE, CONSTRUCCIÓN Y RECONSTRUCCIÓN DE LAS OBRAS, COMO CONSECUENCIA DE LOS DAÑOS OCASIO","DOP",44646320,"2022/10/21 20:00:00","4"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","ETED-MAE-PEEN-2022-0002","Proceso adjudicado y celebrado","ADQUISICIÓN DE MATERIALES Y HERRAMIENTAS DE FERRETERÍA Y TELECOMUNICACIONES","DOP",2506924.24,"2022/11/17 16:00:00","2"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MINERD-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","REHABILITACIÓN DE CIENTO SETENTA Y CUATRO (174) PLANTELES EDUCATIVOS EN LAS PROVINCIAS EN ESTADO DE EMERGENCIA (LA ALTAGRACIA, LA ROMANA, EL SEIBO, SAMANÁ, HATO MAYOR, MARÍA TRINIDAD SÁNCHEZ, DUARTE Y","DOP",610373943.03,"2022/12/19 16:00:00","6"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","ETED-MAE-PEEN-2022-0003","Proceso adjudicado y celebrado","ADQUISICIÓN DE HERRAMIENTAS Y MATERIALES ELÉCTRICOS PARA LA GERENCIA NACIONAL DE MANTENIMIENTO DE SUBESTACIONES","DOP",24936937.96,"2022/11/08 20:00:00","2"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","EDEESTE-MAE-PEEN-2022-0003","Proceso adjudicado y celebrado","Compra de Materiales Eléctricos para la atención de Averías en Redes y Acometidas de los Clientes luego del paso de los Aguaceros Torrenciales el 04 noviembre 2022","DOP",406255869.42,"2023/03/24 21:00:00","4"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MIVHED-MAE-PEEN-2022-0004","Proceso desierto","Contratación de suministro de almuerzos y cenas para el personal que se encuentra en La Romana, realizando trabajos de reparación de viviendas luego del paso del huracán Fiona por la Región Este.","DOP",1065419.5,"2022/10/11 16:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","DCD-MAE-PEEN-2022-0002","Proceso adjudicado y celebrado","ADQUISICIÓN DE VEHÍCULOS PARA FORTALECER LA RESPUESTA Y MITIGAR EL IMPACTO CAUSADO POR EL HURACAN FIONA EN LAS PROVINCIAS EL SEIBO Y MONTE PLATA.","DOP",6384500,"2022/10/11 15:00:00","6"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MIVHED-MAE-PEEN-2022-0005","Proceso adjudicado y celebrado","ADQUISICIÓN DE TICKETS DE COMBUSTIBLE PARA USO DE LA FLOTILLA VEHICULAR DEL MINISTERIO PARA EL OPERATIVO DE INTERVENCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA","DOP",20000000,"2022/10/10 16:00:00","2"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MIMARENA-MAE-PEEN-2022-0002","Proceso adjudicado y celebrado","Adquisición materiales de construcción para la reconstrucción de viviendas en la isla Saona luego del paso del ciclón Fiona. Proceso de Emergencia","DOP",8104835,"2022/11/02 20:00:00","8"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","EDEESTE-MAE-PEEN-2022-0002","Proceso adjudicado y celebrado","Compra De Materiales Eléctricos Para Continuar Con La Readecuación Del Servicio Energético En La Región Este Del País Luego Del Paso Del Huracán Fiona","DOP",183234893.02,"2022/12/19 22:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MIVHED-MAE-PEEN-2022-0007","Proceso adjudicado y celebrado","CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA, FASE II","DOP",816460846.52,"2022/11/09 21:59:00","8"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MIVHED-MAE-PEEN-2022-0002","Proceso adjudicado y celebrado","CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA","DOP",1371232302.81,"2022/10/07 21:59:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MAPRE-MAE-PEEN-2022-0002","Proceso adjudicado y celebrado","COMPRA DE MATERIALES DIVERSOS (MADERA, ZINC, CLAVOS) PARA CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS DE CIUDADANOS VULNERABLES AFECTADOS POR EL PASO DEL HURACÁN FIONA","DOP",50242587,"2022/11/09 21:00:00","5"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0008","Proceso adjudicado y celebrado","ADQUISICION DE PINTURAS, BASES Y ACABADOS PARA SER UTILIZADOS EN LAS LABORES DE AYUDA HUMANITARIA, RESCATE, CONSTRUCCIÓN Y RECONSTRUCCIÓN DE LAS OBRAS, COMO CONSECUENCIA DE LOS DAÑOS OCASIONADOS POR E","DOP",106221356.5,"2022/10/27 20:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","DCD-MAE-PEEN-2022-0003","Proceso desierto","ADQUISICIÓN DE EMBARCACIONES Y EQUIPOS PARA FORTALECER LA RESPUESTA MARÍTIMA Y MITIGAR EL IMPACTO CAUSADO POR EL HURACÁN FIONA EN LAS PROVINCIAS DE LA COSTA ESTE.","DOP",3294000,"2022/10/25 19:30:00","3"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0014","Proceso adjudicado y celebrado","ADQUISICION DE EQUIPOS PESADOS, PARA SER UTILIZADOS EN LAS LABORES DE AYUDA HUMANITARIA, RESCATE, CONSTRUCCIÓN Y RECONSTRUCCIÓN DE LAS OBRAS, COMO CONSECUENCIA DE LOS DAÑOS OCASIONADOS POR EL PASO DEL","DOP",139100000,"2022/11/08 20:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0012","Proceso adjudicado y celebrado","ADQUISICION DE FARDOS DE AGUA PURIFICADA, PARA SER UTILIZADOS EN LAS LABORES DE AYUDA HUMANITARIA, COMO CONSECUENCIA DE LOS DAÑOS OCASIONADOS POR EL PASO DEL HURACÁN FIONA.","DOP",4500000,"2022/11/03 20:00:00","4"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0009","Proceso desierto","ADQUISICION DE MEDICAMENTOS E INSUMOS MEDICOS PARA SER UTILIZADOS EN LAS LABORES DE AYUDA HUMANITARIA, COMO CONSECUENCIA DEL PASO DEL HURACÁN FIONA, EN VIRTUD DEL DECRETO NO. 537-22","DOP",755700,"2022/10/24 20:00:00","7"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MISPAS-MAE-PEEN-2022-0004","Proceso desierto","ADQUISICION DE VEHICULOS NECESARIOS PARA GARANTIZAR LA ATENCION SANITARIA Y HUMANITARIA EN LAS ZONAS AFECTADAS POR EL HURACAN FIONA","DOP",19602000,"2022/11/07 20:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0013","Proceso adjudicado y celebrado","ADQUISICIÓN DE ENSERES DEL HOGAR, PARA SER ENTREGADOS A LOS AFECTADOS, COMO CONSECUENCIA DE LOS DAÑOS OCASIONADOS POR EL PASO DEL HURACÁN FIONA, EN VIRTUD DEL DECRETO NO. 537-22","DOP",7005825,"2022/11/07 20:00:00","7"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","INDRHI-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","REHABILITACIONES, READECUACIONES Y REPARACIONES DE INFRAESTRUCTURAS AFECTADAS POR EL HURACAN FIONA.","DOP",805505503.45,"2022/11/14 18:30:00","8"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MAPRE-MAE-PEEN-2022-0003","Proceso adjudicado y celebrado","COMPRA DE KITS DE ALIMENTOS PARA CIUDADANOS VULNERABLES AFECTADOS POR EL PASO DEL HURACAN FIONA","DOP",100560000,"2022/11/15 16:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","DCD-MAE-PEEN-2022-0006","Proceso adjudicado y celebrado","Adquisición de equipos de comunicación, telecomunicación y señalización para fortalecer la capacidad de respuesta y mitigar los daños en las zonas vulnerables de las provincias afectadas.","DOP",2342926.86,"2022/10/26 17:45:00","2"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","911-MAE-PEEN-2022-0002","Proceso adjudicado y celebrado","ADQUISICIÓN DE BATERÍAS PARA SISTEMAS RESPALDO DE LOS PUNTOS DE CÁMARAS Y BTS DE SITIOS DE RADIOCOMUNICACIONES DEL SISTEMA NACIONAL DE ATENCIÓN A EMERGENCIAS Y SEGURIDAD 9-1-1.","DOP",24754785,"2022/11/04 21:00:00","2"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","911-MAE-PEEN-2022-0001","Proceso adjudicado y celebrado","ADQUISICIÓN DE HERRAMIENTAS Y MATERIALES PARA LA SOLUCIÓN DE AVERÍAS EN LA PLANTA EXTERNA DE VÍDEO VIGILANCIA, TRAS EL PASO DEL HURACÁN FIONA EN EL TERRITORIO NACIONAL, DEL SISTEMA NACIONAL DE ATENCIÓ","DOP",13470914.21,"2022/11/04 21:00:00","1"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0015","Proceso adjudicado y celebrado","ADQUISICION DE COMBUSTIBLE DIESEL, PARA SER UTILIZADO EN EL ABASTECIMIENTO DE LOS EQUIPOS, VEHICULOS Y MAQUINARIAS EMPLEADAS EN LAS LABORES DE AYUDA HUMANITARIA, RESCATE, CONSTRUCCIÓN Y RECONSTRUCCIÓN","DOP",30000000,"2022/11/08 20:00:00","3"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0017","Sobres abiertos o aperturados","CONSTRUCCIÓN Y RECONSTRUCCIÓN DE INFRAESTUCTURAS VIALES QUE FUERON AFECTADAS POR EL PASO DEL HURACÁN FIONA ETAPA II","DOP",4040296452.73,"2022/11/07 20:00:00","4"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","DCD-MAE-PEEN-2022-0005","Proceso adjudicado y celebrado","Adquisición de equipos y herramientas de rescate y protección personal para ser utilizados por los operativos de rescate en la zona este a raíz del impacto del Huracán Fiona.","DOP",3381974,"2022/10/26 17:30:00","3"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","ETED-MAE-PEEN-2022-0004","Proceso adjudicado y celebrado","ADQUISICIÓN DE SUMINISTROS Y MATERIALES ELÉCTRICOS PARA LA GERENCIA NACIONAL DE MANTENIMIENTO DE REDES","DOP",38631048,"2022/11/08 20:00:00","3"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","DCD-MAE-PEEN-2022-0004","Proceso adjudicado y celebrado","Adquisición de maquinas y herramientas de extracción y remoción de arboles para fortalecer la capacidad de respuesta en las zonas vulnerables afectadas por el paso del Huracán Fiona.","DOP",2944900,"2022/10/26 16:00:00","2"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0010","Sobres abiertos o aperturados","CONSTRUCCIÓN Y RECONSTRUCCIÓN DE INFRAESTUCTURAS VIALES QUE FUERON AFECTADAS POR EL PASO DEL HURACÁN FIONA","DOP",2582758311.84,"2022/10/24 20:00:00","2"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0016","Proceso adjudicado y celebrado","ADQUISICION DE CAMIONETAS Y MICROBUSES, PARA USO DE LA COMIPOL EN LAS LABORES DE EMERGENCIA VIAL, AYUDA HUMANITARIA Y RESCATE, COMO CONSECUENCIA DE LOS DAÑOS OCASIONADOS POR EL PASO DEL HURACÁN FIONA,","DOP",64137000.07,"2022/11/10 20:00:00","6"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","MOPC-MAE-PEEN-2022-0018","Proceso adjudicado y celebrado","ADQUISICION DE MATERIALES Y HERRAMIENTAS DE CONSTRUCCION PARA SER UTILIZADOS EN LABORES DE AYUDA HUMANITARIA, RESCATE, CONSTRUCCIÓN Y RECONSTRUCCIÓN DE LAS OBRAS, COMO CONSECUENCIA DE LOS DAÑOS OCASIO","DOP",80885783.25,"2022/11/09 20:00:00","8"
"República Dominicana","DOM","214","Información del Presupuesto General de Emergencias - Lluvias 2023 - Decreto 585-23 y Huracán Fiona - Decreto 537-22 (procurement-process.csv)","911-MAE-PEEN-2022-0004","Proceso desierto","ADQUISICIÓN DE FIBRA ÓPTICA Y CONTRATACIÓN DE SERVICIO DE REPARACIÓN DE FIBRA ÓPTICA TRAS EL PASO DEL HURACÁN FIONA EN EL TERRITORIO NACIONAL, PARA DEL SISTEMA NACIONAL DE ATENCIÓN A EMERGENCIAS Y SEG","DOP",25773000,"2022/11/04 21:00:00","2"
