No,Regla de Negocio,Descripcion Detallada
11,Los proyectos deben tener un avance fisico ejecutado cuando su estado es ejecutado y/o terminado ,"A medida que los proyectos se ejecutan debe existir un avance fisico y debe saber que tanto se ha realizado del proyecto, si ha cumplido con las metas establecidas"
12,Los proyectos deben tener una meta definida diferente de 0 en los diferentes estados,Cuando se conffiguran las metas de los componentes de los proyectos para el avance fisico estas metas deberian ser diferente de 0 en los diferentes estados. 
13,Los proyectos deben tener una meta ejecutada diferente de 0 cuando estan en estado ejecutado,"Se espera que si un proyecto esta en estado ejecucion, tenga metas definidas claras y sean diferentes de 0"
14,"Los proyectos en dominicana estan agrupados en dos fases (preinversion e inversion), los proyectos deben tener una fase definida para los diferentes estados","Se espera que si un proyecto esta en estado ejecucion, tenga metas definidas claras y sean diferentes de 1"
15,Los proyectos deben tener un presupuesto independiente del estado en el que se encuentren,Cuando se define un proyecto este debe tener un presupuesto asignado 
16,Los proyectos deben tener un presupuesto programado mayor a 0,Se espera que cuando se define el proyecto el presupuesto programado sea mayor a 0. El presupuesto programado es el definido cuando se esta concibiendo un proyecto
17,Los proyectos deben tener un presupuesto aprobado mayor a 0 en sus diferentes estados,Se espera que cuando se define el proyecto el presupuesto aprobado sea mayor a 0. El presupuesto aprobado es el que se ha aprobado una vez el proyecto tiene viabilidad 
18,Los proyectos deben tener al menos una localizacion asignada,"MapaInversiones requiere informacion de localizacion para poder filtrar los proyectos en el mapa. Un proyecto puede tener una o mas localizaciones, teniendo en cuenta que hay proyectos de alcance nacional. En dominicana las localizaciones estan definidas como Provinncia y Municipios"
19,"Los proyectos deben tener componentes asociados a nivel de cronograma fisico, ejecucion fisica y financiera( presupuestal)","Debe existir coherencia dentro de la informacion si existen componentes a nivel de ejecucion fisica, debe existir en la programacion (cronograma) y a nivel financiero (presupuestal), para tener coherencia y poder realizar trazabilidad y seguimiento de los difererntes componentes"
20,Dentro de las lineas presupuestales de inversion deben existir proyectos de inversion asociados a traves del codigo snip,Cuando se realiza el presupuesto y en este se definen lineas presupuestales se define a que proyectos va asociado a traves del codigo snip
21,En el banco de proyectos snip encontramos proyectos que no estan en el presupuesto para una vigencia (año) determinada ,"Dado que hay informacion presupuestal del snip de proyectos de invesion que se encuentra en el banco y tabien hay infromacion del presupuesto de Hacienda la informacion deberia ser congruente. Si hay informacion de un proyecto en el banco de proyectos snip, deberia tambien estar en la informacion presupuestal de hacienda y viceversa "
22,"El presupuesto vigente en el banco de proyectos para una vigencia determinada, deberia coincidir con el presupuesto vigente de hacienda (lineas presupuestales) en una vigencia determinada",La informacion presupuesta del banco de proyectos debe ser congruente con la informacion presupuestal de hacienda en una vigencia y/o tiempos determinados. 
23,Cuantas lineas presupuestales de hacienda(snips) tienen asociados procesos contractuales y en que estados se encuentran dichos procesos,"El presupuesto y mas especificamente los proyectos de inversion pasado un tiempo deben realizar contrataciones en la mayoria de los casos y para esto deben tener procesos contractuales asociados, esto puede ayudar a determinar los resultados del proyecto y a su vez determinar si pueden existir demoras en la ejecucion de los proyectos y del presupuesto dados los tiempos que puede tomar los procesos de contratacion. Aqui buscamos primero revisar desde la vinculacion presupuestal como esta esta asociacion"
24,"Cuantos de proyectos de inversion que tienen procesos contractuales asociados, estados del proyecto vs estado del proceso contractual ","Para lograr una trazabilidad completa buscamos revisar desde el presupuesto hasta los proyectos de inversion y su asociacion con los contratos para conocer de forma general; cuantos proyectos no tienen procesos asociados y cual es el estado del proyecto vs el estado del proceso contractual. Estos estados pueden ayudarnos a generar alertas que indique cuando un proyecto este en estado ejecucion, tenga un presupuesto asignado, pero no tenga proceso contractual y/o este proceso contractual se encuentre en estado cancelado "
25,"Cuantas lineas presupuestales de hacienda(snips) tienen asociados contratos y en que estados estan los contratos (Fueron firmados, pagados, demandados, cancelados)","Cuando se genera un proceso contractual se esta de alguna manera separando dinero del presupuesto para cubrir el valor del proceso esto se conoce en dominicana como preventivo y una vez se realiza el contrato ese dinero se compromete, es decir ya existe una obligacion como tal a la realizacion del pago en los tiempos definidos. Es importante conocer el estado de estos contratos para poder establecer y definir posibles huecos presupuestales y/o poder preveer cuando dinero se requiere tener disponibles para esos pagos"
26,"Cuantos de proyectos de inversion que tienen contratos asociados, estados del proyecto vs estado del contrato","Una trazabilidad completa buscara saber que tanto avanzan los proyectos y el tener contratos firmados y en ejecucion puede ser una buena señal de avance, asi como tener contratos cancelados, demandados y/o no tener contratos pueden suponer problemas en la ejecucion de los proyectos"
