CODIGO_UNIDAD_COMPRA,UNIDAD_COMPRA,CODIGO_PROCESO,ID_ADJUDICACION,ID_OFERTA,ID_EVALUACION_OFERTA,CODIGO_CONTRATO,RPE,RAZON_SOCIAL,OBJETO_CONTRATO,CARATULA,ESTADO_ADJUDICACION,ESTADO_CONTRATO,FECHA_ADJUDICACION,FECHA_CONFIRMACION_ADJUDICACION,FECHA_APROBACION,FECHA_NOTIFICACION_PROVEEDOR,FECHA_FIRMA_CONTRATO,FECHA_INICIO_CONTRATO,FECHA_FIN_CONTRATO,FECHA_INICIO_ENTREGA,FECHA_FIN_ENTREGA,MONEDA,VALOR_CONTRATADO,METODO_PAGO,PLAZO_PAGO_FACTURA,FECHA_ULTIMA_MODIFICACION,URL_CONTRATO,ESTADO_PROCESO,CODIGO_MODALIDAD,MODALIDAD,TIPO_EXCEPCION,URL,RAZON_SOCIAL_RPE,NUMERO_DOCUMENTO,TIPO_DOCUMENTO,GENERO,TIPO_PERSONA,FORMA_JURIDICA,ES_MIPYME,CERTIFICACION_MICM,CLASIFICACION_EMPRESARIAL,CLASIFICACION_EMPRESARIAL_2,MUNICIPIO,PROVINCIA,REGION,MACROREGION,PAIS,CLASIFICACION_RPE,DETALLE_EXCEPCION,CONTRATO_MIPYME,FECHA_ACTUALIZACION
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3188601,DO1.RANL.1230108,MIVHED-2022-00389,34690,"Ena Ingeniería y Materiales, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,52:41.3,51:47.0,00:00.0,00:00.0,00:00.0,00:00.0,DOP,76699952,Transferencia,120 días,52:03.8,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445805&AwardContractDetailId=394466,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"Ena Ingeniería y Materiales, SRL",130956405,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,No,No,No clasificada,Empresa no acogida a la Ley 187-17,DISTRITO NACIONAL,DISTRITO NACIONAL,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,No clasificada,emergencia,False,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0006,DO1.AWD.1261110,DO1.RPL.3234630,DO1.RANL.1247619,MIVHED-2022-00393,101503,"Doña Chava, EIRL",Servicios,"Contratación de servicio de transporte de pasajeros, por 16 días, para trasladar personal voluntario y brigadas de acción rápida que se encuentran brindando servicios a los afectados por el Huracán Fiona",Confirmada y enviada,Cerrado,49:40.1,30:14.9,null,35:28.2,35:28.0,00:00.0,00:00.0,00:00.0,00:00.0,DOP,2340000,Transferencia,30 días,06:53.7,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445908&AwardContractDetailId=395331,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1139855,"Doña Chava, EIRL",132423021,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,No,No,No clasificada,Empresa no acogida a la Ley 187-17,SANTO DOMINGO ESTE,SANTO DOMINGO,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,No clasificada,emergencia,False,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3182701,DO1.RANL.1230048,MIVHED-2022-00395,19340,"LC Inversiones, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,36:22.0,36:04.2,35:00.0,00:00.0,35:00.0,00:00.0,DOP,62944371,Transferencia,120 días,36:21.4,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445910&AwardContractDetailId=394470,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"LC Inversiones, SRL",130161887,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Mediana Empresa,MIPYME Certificada,DISTRITO NACIONAL,DISTRITO NACIONAL,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,Mediana empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3230103,DO1.RANL.1245405,MIVHED-2022-00384,62525,"Alquicon Ingeniería y  Servicios, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,00:35.8,00:17.9,00:00.0,00:00.0,00:00.0,00:00.0,DOP,76699951,Transferencia,120 días,00:35.6,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1446001&AwardContractDetailId=394461,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"Alquicon Ingeniería y Servicios, SRL",131424228,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Pequeña Empresa,MIPYME Certificada,DISTRITO NACIONAL,DISTRITO NACIONAL,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,Pequeña empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3190402,DO1.RANL.1230062,MIVHED-2022-00390,7086,José Miguel Minaya Tavera,Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,59:48.9,59:07.0,00:00.0,00:00.0,00:00.0,00:00.0,DOP,62741932,Transferencia,120 días,59:47.1,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1446005&AwardContractDetailId=394467,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,José Miguel Minaya Tavera,4900016140,Cédula,Masculino,Persona Natural,Persona Física,Si,Si,Micro Empresa,MIPYME Certificada,COTUÍ,SÁNCHEZ RAMÍREZ,CIBAO SUR,NORTE,REPÚBLICA DOMINICANA,Micro empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3229624,DO1.RANL.1245421,MIVHED-2022-00383,58533,"O´Reilly  & Asociados, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,53:54.2,53:10.6,00:00.0,34:00.0,40:00.0,00:00.0,DOP,76699951,Transferencia,60 días,53:50.2,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445505&AwardContractDetailId=394460,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"O´Reilly & Asociados, SRL",130128073,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Mediana Empresa,MIPYME Certificada,SANTO DOMINGO ESTE,SANTO DOMINGO,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,Mediana empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3229415,DO1.RANL.1245104,MIVHED-2022-00381,20497,"G. A. MORILLO & ASOCIADOS, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,18:49.0,18:01.2,40:00.0,00:00.0,40:00.0,00:00.0,DOP,76699951,Transferencia,120 días,18:45.7,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445401&AwardContractDetailId=394458,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"G. A. MORILLO & ASOCIADOS, SRL",130385912,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Pequeña Empresa,MIPYME Certificada,DISTRITO NACIONAL,DISTRITO NACIONAL,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,Pequeña empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3230408,DO1.RANL.1245402,MIVHED-2022-00387,70832,"Nuespi Ingeniería, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,54:30.4,02:47.8,00:00.0,00:00.0,00:00.0,00:00.0,DOP,76699951,Transferencia,120 días,54:30.1,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445512&AwardContractDetailId=394464,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"Nuespi Ingeniería, SRL",131570968,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Pequeña Empresa,MIPYME Certificada,DISTRITO NACIONAL,DISTRITO NACIONAL,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,Pequeña empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3231084,DO1.RANL.1246138,MIVHED-2022-00385,50637,"Servicios, Reparaciones y Construcciones SERECON, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,51:06.2,50:36.7,20:00.0,00:00.0,20:00.0,00:00.0,DOP,76699951,Transferencia,120 días,51:06.0,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445509&AwardContractDetailId=394462,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"Servicios, Reparaciones y Construcciones SERECON, SRL",130967891,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Micro Empresa,MIPYME Certificada,DISTRITO NACIONAL,DISTRITO NACIONAL,OZAMA O METROPOLITANA,SURESTE,REPÚBLICA DOMINICANA,Micro empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3229412,DO1.RANL.1245103,MIVHED-2022-00392,68654,"Isecon Ingeniería Servicios & Construcciones, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,30:38.5,29:11.8,00:00.0,00:00.0,00:00.0,00:00.0,DOP,76699955,Transferencia,120 días,30:37.2,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445515&AwardContractDetailId=394469,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"Isecon Ingeniería Servicios & Construcciones, SRL",131379321,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Mediana Empresa,MIPYME Certificada,null,No Especificada,No Especificada,No Especificada,null,Mediana empresa,emergencia,True,25:11.6
1154,"Ministerio de la Vivienda, Hábitat y Edificaciones",MIVHED-MAE-PEEN-2022-0002,DO1.AWD.1260758,DO1.RPL.3192809,DO1.RANL.1230091,MIVHED-2022-00386,89582,"Kepher, SRL",Obras,CONSTRUCCIÓN Y RECONSTRUCCIÓN DE VIVIENDAS AFECTADAS POR EL HURACÁN FIONA,Confirmada y enviada,Activo,35:08.5,01:56.1,null,56:07.4,55:29.7,15:00.0,00:00.0,15:00.0,00:00.0,DOP,76699954,Transferencia,120 días,56:06.8,https://comunidad.comprasdominicana.gob.do/Public/Tendering/ContractDetailView/Index?UniqueIdentifier=DO1.PCCNTR.1445510&AwardContractDetailId=394463,Proceso adjudicado y celebrado,PEEN,Procesos de Excepción,emergencia,https://comunidad.comprasdominicana.gob.do//Public/Tendering/OpportunityDetail/Index?noticeUID=DO1.NTC.1134644,"Kepher, SRL",132111532,RNC,Masculino,Persona Jurídica,Sociedades Comerciales,Si,Si,Pequeña Empresa,MIPYME Certificada,null,No Especificada,No Especificada,No Especificada,null,Pequeña empresa,emergencia,True,25:11.6
